code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Aberdeen,Total demersal,3.41,7.24,1.23,1.98,1.87,5.47,39.58,2.42,12.79,2.67
Aberdeen,Total pelagic,80.03,15.20,21.30,8.62,6.87,50.88,12.52,28.29,10.15,10.47
Aberdeen,Edible crabs,323.78,343.79,474.78,494.24,551.07,387.16,434.24,751.13,1212.11,1380.07
Aberdeen,Lobsters,156.76,193.61,212.16,218.47,194.22,1677.73,2304.41,2828.36,3077.27,2882.95
Aberdeen,Nephrops,44.29,49.44,74.01,58.66,92.33,160.78,180.04,231.02,212.30,314.76
Aberdeen,Scallops,442.70,398.28,315.81,102.34,281.60,924.98,941.30,723.26,218.96,649.88
Aberdeen,Velvet crabs,65.47,83.71,131.73,72.98,140.05,157.99,211.52,374.31,237.73,379.58
Aberdeen,Other shellfish,91.91,9.81,29.62,5.49,2.81,380.95,30.80,42.51,26.75,4.90
Aberdeen,Total shellfish,1124.91,1078.64,1238.09,952.17,1262.07,3689.60,4102.30,4950.59,4985.12,5612.13
Aberdeen,Total landings,1208.35,1101.08,1260.62,962.77,1270.81,3745.94,4154.40,4981.31,5008.06,5625.26
Anstruther,Total demersal,3.19,0.32,18.91,1.36,56.34,12.49,0.55,39.33,5.34,132.22
Anstruther,Mackerel,47.91,27.02,21.92,22.33,29.73,33.51,25.50,31.30,34.15,47.29
Anstruther,Total pelagic,47.91,27.02,21.92,22.33,29.73,33.51,25.50,31.30,34.15,47.29
Anstruther,Clams,28.81,35.54,33.39,18.06,27.42,63.34,93.06,91.27,48.07,154.91
Anstruther,Edible crabs,86.87,130.74,128.14,122.78,113.57,101.61,162.71,198.89,301.23,317.27
Anstruther,Lobsters,129.49,116.89,121.92,108.92,101.65,1397.39,1492.25,1626.88,1517.02,1456.16
Anstruther,Nephrops,719.77,928.82,1144.10,1286.97,1377.17,1994.98,2535.10,3220.72,3698.26,3637.62
Anstruther,Razor fish,10.30,20.39,115.31,136.97,170.82,42.10,64.71,608.82,1239.83,1343.81
Anstruther,Velvet crabs,33.15,37.11,46.45,27.92,53.25,75.70,94.95,124.63,89.52,141.26
Anstruther,Other shellfish,110.77,190.86,169.58,39.27,13.21,169.41,291.71,242.64,79.13,45.68
Anstruther,Total shellfish,1119.16,1460.35,1758.90,1740.89,1857.08,3844.53,4734.49,6113.85,6973.04,7096.71
Anstruther,Total landings,1170.26,1487.69,1799.73,1764.58,1943.15,3890.54,4760.54,6184.47,7012.53,7276.21
Ayr,Total demersal,3.27,3.77,4.74,3.79,3.92,8.90,9.22,34.01,9.38,21.77
Ayr,Total pelagic,0.35,0.66,0.00,0.50,0.19,0.15,0.54,0.00,0.59,0.32
Ayr,Edible crabs,13.22,17.67,60.86,133.64,226.14,15.67,22.36,112.30,304.71,519.85
Ayr,Lobsters,67.75,83.77,70.63,58.48,65.19,674.25,950.33,912.25,832.39,911.55
Ayr,Nephrops,1719.33,2327.50,2055.78,1970.89,1945.84,4547.33,5702.86,4896.30,4967.36,4764.34
Ayr,Queen scallops,3342.74,2542.55,1541.36,1170.65,1407.79,1870.25,2080.64,1719.16,1516.89,1442.02
Ayr,Razor fish,227.73,352.21,529.93,322.31,434.32,1044.78,1758.65,3109.37,2829.16,3695.46
